masterid,stationcode,latitude,longitude
115CE0239,115CE0239,38.25666,-122.79361
115EBAG01,115EBAG01,38.3462,-122.91565
115SALG01,115SALG01,38.34327,-122.95891
115SC6093,115SC6093,38.35614,-122.9263
115SMCFCx,115SMCFCx,38.36111,-123.02861
115WE0835,115WE0835,38.36687,-122.95615
201AHO350,201AHO350,37.94495,-122.74306
201AUD020,201AUD020,37.93081,-122.68037
201CE0039,201CE0039,38.015,-122.68805
201CHE300,201CHE300,38.03977,-122.74191
201EAS020,201EAS020,37.89844,-122.64174
201EAS050,201EAS050,37.90023,-122.63733
201HAL100,201HAL100,38.07074,-122.68896
201HAL400,201HAL400,38.078809,-122.654151
201LAG050,201LAG050,38.04181,-122.78969
201LAG065,201LAG065,38.012345,-122.768198
201LAG103,201LAG103,37.990269,-122.750324
201LAG130,201LAG130,38.08064,-122.7845
201LAG130,201LAG130_SWAMP,38.08064,-122.7845
201LAG140,201LAG140,38.07034,-122.77051
201LAG150,201LAG150,38.06669,-122.70264
201LAG160,201LAG160,38.06156,-122.69958
201LAG165,201LAG165,38.05839,-122.76522
201LAG175,201LAG175,38.04473,-122.750729
201LAG180,201LAG180,38.03722,-122.74611
201LAG18X,201LAG18X,38.06485,-122.80336
201LAG190,201LAG190,38.02964,-122.73636
201LAG210,201LAG210,38.01861,-122.73306
201LAG220,201LAG220,38.01611,-122.72297
201LAG240,201LAG240,38.00703,-122.70569
201LAG241,201LAG241,38.008307,-122.703405
201LAG242,201LAG242,38.01432,-122.69601
201LAG270,201LAG270,38.01356,-122.66664
201LAG280,201LAG280,38.013003,-122.660755
201LAG289,201LAG289,38.01306,-122.651005
201LAG290,201LAG290,38.01305,-122.65055
201LAG300,201LAG300,38.01275,-122.64689
201LAG320,201LAG320,38.00453,-122.70878
201LAG330,201LAG330,37.99194,-122.66972
201LAG335,201LAG335,37.99222,-122.66
201LAG380,201LAG380,37.96722,-122.64945
201LAG385,201LAG385,37.94111,-122.64301
201LAG390,201LAG390,37.9325,-122.63555
201LAGCPT,201LAGCPT,38.01923,-122.729
201MRS020,201MRS020,37.9201,-122.66887
201MUD500,201MUD500,38.052323,-122.867276
201NIC400,201NIC400,38.055971,-122.662242
201PNG010,201PNG010,37.91971,-122.69181
201PNG050,201PNG050,37.95451,-122.718
201RDW040,201RDW040,37.86306,-122.57202
201RDW060,201RDW060,37.86369,-122.57514
201RDW080,201RDW080,37.87717,-122.58114
201RDW100,201RDW100,37.88444,-122.57005
201RDW120,201RDW120,37.90023,-122.57811
